,text,task_1,task_2
1536,&#8220;@SEM25LIVE Girl you eat mo pussy than me girl you shoulda been a nigga&#8221; that's that jam,HOF,OFFN
1537,&#8220;@SEM25LIVE Leave all the bitchin to bitches&#8221;,HOF,OFFN
1538,&#8220;@SMITHAAAAAA: &#8220;@Tats_NSnapbacks: Last night was well.. Fun lmao&#8221; you got some pussy didn't ya Vern&#8221; unfortunately no lol,HOF,OFFN
1539,&#8220;@S_hawn24: Y'all females love y'all a bum nigga or a jail bird..&#8221;!!!!,HOF,OFFN
1541,&#8220;@Sair____: you lucky ashit if you got the shawty you want .. &#128527;&#128175;&#8221; a niggah just tryna keep her,HOF,OFFN
1542,&#8220;@Sam_James3: @khalilreed @aknadnrye don't get on bro http://t.co/qjJvynwQiO&#8221; when bae textin another nigger,HOF,OFFN
1543,&#8220;@SarabiaErik: I just accidentally ate a pot brownie. I guess there goes my pledge of being drug free for life . lolz .&#8221; Lmao #College,NONE,NONE
1544,&#8220;@SexReIationship: Who else thinks lip biting is fucking sexy?&#8221;@MaiaPapayyya_ until that bitch bite too hard put a hoe out once for that,HOF,OFFN
1545,&#8220;@Sexmatical: these the kids that call you nigger on xbox http://t.co/wGvCepONH8&#8221;,HOF,OFFN
1546,&#8220;@SexualMedic: How I feel when I'm throwing trash away... http://t.co/qQ94N1rD5N&#8221; everyday in school.,NONE,NONE
1547,&#8220;@Sexualgif: when he makes u his WCW &amp; his hoes favorite it https://t.co/iND1vON4JH&#8221; &#128520;&#128520;&#128520;&#128514;&#128514;,HOF,OFFN
1548,&#8220;@SexyUnderHere: Females that know they are hoes really the coolest chicks....all sex asides&#8221;lmao,HOF,OFFN
1549,&#8220;@SeymourBlanco: They game is over fuck yall bitches &amp; yall attitudes &#128514;&#128514;&#128514;&#128557;&#128557; http://t.co/rLrnYbfedT&#8221;&#128557;&#128557;,HOF,OFFN
1550,&#8220;@SheSoViciouzz: It might be RT @WarWith1Gun: Some of y'all females pussy wet cause he cried&#8221; smh,HOF,OFFN
1551,"&#8220;@SheTwirlsMyKan3: I say bitch bad, woman good, lady better&#8221; Lupe?",HOF,OFFN
1552,&#8220;@ShesSoBlessed_: Oreos And Milk &#128523;&#8221;,NONE,NONE
1553,"&#8220;@ShianneAlvarez: @187XO_ maybe cuz your putting trust in a "" bitch "" not a lady.&#8221; or maybe because this a fucking song",HOF,OFFN
1554,"&#8220;@SimplyHype: @kobebryant shut the fuck up, you fucking trash nigga, work on another ring&#8221; http://t.co/6RleNKR7EE",HOF,HATE
1556,&#8220;@SlimThickChicks: &#128525;&#128525;&#128525;&#128525; http://t.co/qMhkkQH8hg&#8221;kid in the yellow is rock hard,HOF,OFFN
1557,&#8220;@Smokinonkaya_: &#8220;@Nilaja_: Everybody Loves Dej Loaf&#8221; cause that's wifey&#8221; fuck off kaya dats my bitch.,HOF,OFFN
1559,&#8220;@SoDamnTrue: I live in constant fear of being shit on by a bird&#8221; well this actually fucking happened to me before sooooo. &#128529;,HOF,OFFN
1560,&#8220;@SoTribe_Kasey: I surrounded my bad bitches I can't keep them out my face&#8221;&#128064;&#128064; #WhereTheyAtDoe &#128514;,HOF,OFFN
1561,&#8220;@Son_Goku_Tho: Dr gero made android 18 to destroy da world das sum bitch nigga shit I would program a girl android to gimme sum neck 24/7&#8221;,HOF,OFFN
1562,&#8220;@Southern_Giant: &#8220;@KingShelton_: Dumb bitch award goes too .... http://t.co/IubL31QN6Y&#8221; &#128557;&#8221; that's all you Uncle Sam !!!,HOF,OFFN
1563,&#8220;@SouthsideVic: I let my girl handcuff me to the bed thinkin she gon do something freaky this bitch went through my phone&#8221;,HOF,OFFN
1564,&#8220;@SouthsideVic: What if pussy treated condoms like cars treat seatbelts and kept beeping until u put it on?&#8221; &#128514;&#128514;,HOF,OFFN
1565,"&#8220;@Stamp_Denise: @DJsir_freshley it's almost been 10 yrs. You haven't had ONE gf since, u just been fckn hoes huh.&#8221; http://t.co/9BGr2766k8",HOF,OFFN
1566,"&#8220;@SteveStfler: Your relationship ended, not your life. stop being a whiny bitch&#8221;",HOF,OFFN
1567,&#8220;@Stfu_NobodyCare: @codizzlleee @Satisfied_x you fck like a hoe so no thank you . Ima be classy when I do it &#128128;&#8221; &#128128;&#128128;&#128128;&#128128;&#128128;&#128128; bitch I'm dead,HOF,OFFN
1568,&#8220;@Stfu_NobodyCare: I hate how some of you bitches come to school musty . Like how tf you walk out your house stank ? Your mama ain't shit&#8221;&#128514;&#128514;,HOF,OFFN
1569,&#8220;@StognerAllie: Jealous bitches be like ...'&#128514;&#128530;&#127797;.' &#128514;&#128514;&#128514;&#128128;&#8221;&#128514;&#128514;&#128514; don't subtweet me hoe,HOF,OFFN
1570,&#8220;@Stoney_Blu: Y'all big braid gelled baby hair havin bitches look like Dashiki from Don't Be a Menace ... This is not up for discussion&#8221;&#128514;,HOF,OFFN
1571,"&#8220;@SukaSuiti: ""@uce_INA: Nawwww If you a hoe you sittin on the floor and not my damn couuuuuch&#128131;"" but your birthday is in Feb or naa?&#8221; Nope",HOF,OFFN
1572,&#8220;@SydneySantana_: @Treslyon I'm so dead &#128128;&#128128; why you hoe me http://t.co/PYKjhqBP19&#8221; idk I just felt like flaming you lol,HOF,OFFN
1573,&#8220;@THQcheerios: &#8220;@TropicalBlanket: &#128522; http://t.co/YWj1I0wMa9&#8221; go to sleep bitch&#8221;stfu,HOF,OFFN
1574,"&#8220;@TKetterhagen: &#8220;@lars_matthews: &#8220;@Nspan17: I really only like like 3 people in this town, everyone else is a faggot&#8221; me&#8221; me&#8221; me",HOF,OFFN
1575,&#8220;@TKetterhagen: Better not have any bitch ass people in my classes tomorrow&#8221;,HOF,OFFN
1576,"&#8220;@TP_Three: @WestSideFlee @KekePalmer damn they got wifey &#128561;&#128561;&#128534;&#128534;&#128555;&#128553;&#128553;&#128553;&#8221;

Fall back nigga &#128299;.. I don't share my hoes",HOF,HATE
1577,&#8220;@TVEMike: When you catch your girl doing some hoe shit behind your back https://t.co/V4FZ6RXxWd&#8221;&#128553;&#128514;&#128514;,HOF,OFFN
1578,"&#8220;@TWOLVEGIRL: I find myself wanting to google ""the yellow king"" #TrueDetective&#8221; No kidding! What is going on?",NONE,NONE
1579,&#8220;@T_FLYE: http://t.co/s0kAVO4D3E them Wet &#128076;&#128166;&#128166;&#8221;say trav see if they got them hoes in Cali I will send you my money,HOF,OFFN
1580,&#8220;@TaeCocky: This bitch childish af https://t.co/4ZKmOr7sn8&#8221; one of my sisters would've had to crash her &#128514;,HOF,OFFN
1581,"&#8220;@Taggs0967: @NigelDixon1 @CALiboy4 Nigel, you don't think he knows what he did was dumb? How smart are you?&#8221; Shut your bitch ass up",HOF,OFFN
1582,&#8220;@TedOfficialPage: Fucked your bitch and left her like... http://t.co/x41Q6LUH37&#8221;&#128553;&#128553;&#128514;,HOF,OFFN
1583,&#8220;@TeeLaydee: @JustKarahn @what_iDO yasss when a bitch get paid tho &#128514;&#128514;&#8221; as long as she dnt act crazy,HOF,OFFN
1584,"&#8220;@TeeNaaasty: Half y'all hoes still got nut in y'all baby hairs , shut up &#128530;&#8221; http://t.co/YyFCNfqZPc",HOF,OFFN
1585,&#8220;@Terren_Janay: Nobody wants to be with a bum&#8221; except bum bitches,HOF,OFFN
1586,&#8220;@ThaRealLilWang: Ur ex girlfriend is a slut&#8221; fr f dat hoe,HOF,OFFN
1587,&#8220;@ThadIsReal: Ladies If a nigga always wanna go out and party every weekend . He basically side hoe shopping&#8221;&#128514;,HOF,OFFN
1588,"&#8220;@ThatDamnTwerk1 ""When you gonna take me out?"" RT @DrTruth247: Some hoes not gonna let you come over until you spend money on them&#8221;listen",HOF,OFFN
1589,&#8220;@ThatDamnTwerk1 Beef is when a bitch titties looking like they sleep... RT @laidback_813: What's beef...&#8221; http://t.co/P2lR0nko6o,HOF,OFFN
1590,&#8220;@ThatIrvNation: Today was a long practice&#8221; bitch no it wasn't &#128529;,HOF,OFFN
1591,"&#8220;@Thatindianbruh: Food &gt; Pussy 

but pussy = Food 

so food &#8805; pussy.&#8221; http://t.co/ZJ3zyduxkO",HOF,OFFN
1592,&#8220;@TheDevonClarke: I swear if I see any snow tomorrow.... http://t.co/uesygaQLhx&#8221; bruhh you sound like a basic white bitch,HOF,OFFN
1593,"&#8220;@TheDukeKnight: Typical hoe costumes:
1. Cat
2. Nurse
3. Bunny
4. Police officer
5. Themselves&#8221;&#128129;",HOF,OFFN
1594,"&#8220;@TheFatAmy: Uh excuse me bitch, you don't need to shout.&#8221; @LauraSimpson19 @jdjohnson7",HOF,OFFN
1595,&#8220;@TheFunnyVine: Red Neck Ice Bucket Challenge &#128514; https://t.co/cAgp3nIofd&#8221; he must be from the SIP. #redneck,NONE,NONE
1596,&#8220;@TheManOnCampus: &#8220;@VSamone: @5HAWTYYY smoking skating twerking&#8221;I'm innat hoe&#8221;yas,HOF,OFFN
1597,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,HOF,OFFN
1598,&#8220;@TheRealTenski: Miss you @Ex&#8221; pussy,HOF,OFFN
1599,&#8220;@TheRealTootie: I smoke like 20 backwoods a day&#8221; cop dem bitches by da box woe http://t.co/lDr5s3kpng,HOF,OFFN
1600,&#8220;@TheSportsDiva23: Adam Jones homers Yankees now lead 5-3.&#8221;Guy is a monsta,NONE,NONE
1601,&#8220;@ThequeenTommy: @savanigga already going http://t.co/41fpnfeovb&#8221; how I look at side hoes when daddy walk in the room.,HOF,OFFN
1603,"&#8220;@TinnyTimm: &#9994;&#128558; u r gey af. But you're my boy I'm glad I'm close with you. You dumb bitch&#8221; how guys say ""I love you"" &#128527;",HOF,OFFN
1604,&#8220;@Tinypinkisboss: can't stand a playin ass nigga&#9995;&#8221;bitch*,HOF,OFFN
1605,&#8220;@Tom_2Times: Making weed brownies tonight&#8221; goin slide me a batch relo,NONE,NONE
1606,&#8220;@TooEffinCool The hoes love... #oomf &#128527; lol&#8221;,HOF,OFFN
1607,&#8220;@ToriJBerman: Lover http://t.co/pJphVGW4F2&#8221;my old bitch &#128514;,HOF,OFFN
1608,&#8220;@ToriJBerman: Shavonne was doing ballet in the middle of the street last night and fell &#128553;&#128553;&#128514;&#128514;&#128514;&#128514;&#128557;&#128557;&#128557;&#8221;&#128557;&#128557;&#128557; bitch it wasn't ballet,HOF,OFFN
1609,&#8220;@Traceydee98: I want pussy for dinner&#8221;,HOF,OFFN
1610,&#8220;@TrapFuhrer: When her nudes trash you gotta draw clothes back on her and send em back http://t.co/jX7Mc32BkV&#8221;&#128128;&#128128;&#128128;&#128128;&#128128;,HOF,OFFN
1611,"&#8220;@TreMelvin: hoes be like ""omg i love my new comb &#10084;&#65039;"" http://t.co/nuYjUx1SK3&#8221; thought this was Perro",HOF,OFFN
1612,&#8220;@TrillOg_Malik: @vintage_monroe_ knee ass&#8221;crow ass,HOF,OFFN
1613,&#8220;@TrillOg_Malik: @vintage_monroe_ slut hoe&#8221;thot whore,HOF,OFFN
1614,&#8220;@TrillVanillaaa: I feel like twerking &#128514;&#128514;&#8221; This is why yo pussy stank &#128581;,HOF,OFFN
1615,&#8220;@TripleOgi_: Kanye might be the first nigga to successfully save a hoe.&#8221;lol this a original . Tweet,HOF,OFFN
1616,&#8220;@Truth_305 10 under in Miami is a keeper&#8221;not hard to find them hoes just like to brain wrestle,HOF,OFFN
1617,"&#8220;@TryHardSilva: Quote this with a weezy verse"" I'm a diamond in the rough like a baby in the trash",NONE,NONE
1618,&#8220;@TryHardSilva: Quote this with a weezy verse&#8221; you're like a bitch with no ass you aint got shit,HOF,OFFN
1619,"&#8220;@TvvitterFamouse: You just ugly AF stick to one Rt ""@07Cannon: This new avi trash or nah""&#8221; http://t.co/761Mk9Zkci",HOF,OFFN
1620,&#8220;@TweetMeTFOut: You goofy RT @ViriDoesItt: Only goofy niggas simp over chicks with community pussy..&#8221; Who are you?,HOF,OFFN
1621,&#8220;@TwittahCween: Always tryna degrade girls&amp;shit &#128530; when really..pussy&amp;ass is almost all yall think about so shuuutt iittt .&#8221; Sometimes,HOF,OFFN
1622,&#8220;@TyLawson3: F**k it!!!!! I'm never wearing my headband again either!!!!!!&#8221; but you don't hoop like a lil bitch tho...,HOF,OFFN
1623,&#8220;@Tyga: That ain't my hoe.&#8221;,HOF,OFFN
1624,&#8220;@Tylar____: This single shit so boring &#128555;&#128530;&#8221;suck it bitch,HOF,OFFN
1625,&#8220;@UCCrushes: Trenton Gossman is the sexiest hillbilly I have ever seen&#8221; &#128129;&#128514;&#128514;&#128514;,HOF,OFFN
1626,"&#8220;@UTRagers: COLT MCCOY WINS&#8252;&#65039;
#HookEm&#128002;&#8221; he's still trash",NONE,NONE
1627,"&#8220;@UcfGawd: Crying over a guy on Thanksgiving? Nah bitch pick your head up, you making the turkey soggy.&#8221; Thanks A'Shanni *pats turkey dry*",HOF,OFFN
1628,&#8220;@UnLike_Society: Good pussy be making a nigga have to regroup&#8221; pull out and get your thoughts together&#128514;&#128514;,HOF,OFFN
1629,&#8220;@UnbearableTier_: I ate oomf pussy&#8221; @ her &#128064;&#128064;&#128064;&#128514;&#128514;,HOF,OFFN
1630,&#8220;@Untouchable_T: Ion care about none of these bitches&#8221;&#128175;&#128175;&#128175;,HOF,OFFN
1631,&#8220;@Untouchable_T: Never seen so many perfect bitches til I made a Twitter &#128564; but &#128056;&#9749;&#65039;&#8221;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;,HOF,OFFN
1632,&#8220;@VINNYGUADAGNINO: I'm a boss ass bitch ..bitch..bitch..bitch..bitch..bitch..bitch..&#8221; @sarahninjaginga,HOF,OFFN
1633,"&#8220;@Vabtwin8211: @Vivalaquintaa agreed, eating pussy is so much better&#8221;they both Nasty",HOF,OFFN
1634,"&#8220;@VishalDaGod: fuck a #WCW dats my bitch , not my crush&#8221;",HOF,OFFN
1635,"&#8220;@WEEEDITH: All I want is bitches, big boooty bitches&#8221;",HOF,OFFN
1636,"&#8220;@WORSTRAPLYRlCS: http://t.co/hE19TIfqFX&#8221;

How is this trash...",NONE,NONE
1637,&#8220;@WavyGodd: I don't like a ghetto female&#8221;&#128567;&#128078;,HOF,OFFN
1638,&#8220;@Weakass_Drex: If Jennifer Hudson can lose weight anybody can you fat ass hoes!!!&#8221;&#128514;&#128514;&#128514;&#128514;,HOF,OFFN
1639,&#8220;@WeirdLilThingz: Stop giving a nigga pussy he stop actin like he care&#8221; no true totally ...,HOF,OFFN
1640,"&#8220;@Whale__Tail: All I wanna do is go workout then come back home and lay in bed&#8221; jerk off, kill two birds with one stone.",HOF,OFFN
1641,&#8220;@WhatTheFFacts: An orangutan once tried to have sex with actress Julia Roberts.&#8221;Smart monkey&#128514;,HOF,OFFN
1642,&#8220;@Whoscherry: Ever met a bitch that fucked with your nigga but was to pussy to admit it ?&#8221; A bitch for a bitch.,HOF,OFFN
1643,&#8220;@WillyC14_: &#8220;@urbie_6: #SingleBecause ill find a cute hoosier to date next year &#128527;&#8221; @Tgold32&#8221; @connorbradley,NONE,NONE
1644,&#8220;@Woo_Chamberlain: I just made that interview my bitch. &#128526;&#8221;--finessed it huh!? Lol,HOF,OFFN
1645,&#8220;@WorldStarFunny: we don't love these hoes http://t.co/WeKdL09bq5&#8221; @Ilovebamf &#128076;,HOF,OFFN
1646,"&#8220;@WowItsDylan: Fuck a ""bad bitch"" id rather have a good girl who's a freak just for me 10/10 times &#128525;&#128525;&#8221;",HOF,OFFN
1647,&#8220;@Xenoss_: ''single af'' we don't care you're ugly anyways&#8221; @ me pussy,HOF,OFFN
1648,&#8220;@Xenoss_: I don't love these hoes&#8221; *we,HOF,OFFN
1649,&#8220;@YaBoyRoshi: When you try to smash but that pussy stank http://t.co/alfwPUmnls&#8221;,HOF,OFFN
1650,"&#8220;@Yankees: #Yankees and Red Sox are scoreless as we play in the 2nd inning.&#8221;
THE BAMBINO IS WATCHING!",NONE,NONE
1651,"&#8220;@Yankees: Alfredo Aceves in to relieve @CC_Sabathia here in the 4th. #Yankees&#8221; he needs to go away , gas can !",NONE,NONE
1652,&#8220;@Yattabing Cavs trash.. Heat trash.. Smh&#8221;pat gotta make trades,NONE,NONE
1653,"&#8220;@YeridZee: I'm not a bitch like @Vikyfdez15 &#128129; lol&#8221; sorry not sorry, tried to give him a hint that I didn't want to speak to him so idc &#128524;",HOF,OFFN
1654,"&#8220;@YoureGayIf: .@1227jarred Shut up, faggot.&#8221;&#128514;Set himself up",HOF,OFFN
1655,&#8220;@Yummy: Oreo ice cream cake &#128588; http://t.co/dvabPmgQjo&#8221; &#128525;,NONE,NONE
1656,"&#8220;@YungEthiopian: "" I got a natural mean face"" ""i be havin mean mugs and ion even be knowin"" bitch shut the fuck up&#8221;right",HOF,OFFN
1657,&#8220;@ZeeCobb: All I want for my birthday is a female with a large buttocks.&#8221; Big booty hoe,HOF,OFFN
1658,"&#8220;@ZvckSlvt3r704: My sister shittin on you hos once again ""@VSamone: wodeh bout dat action http://t.co/nzHXA8GuA5""&#8221;&#128536;&#128536;&#128536;",HOF,OFFN
1659,&#8220;@_1KANE: LMAOOO I find this shit so funny y'all hoes ain't content with working it out with one nigga http://t.co/dBtcv0fBN1&#8221;that's boring,HOF,OFFN
1660,"&#8220;@_4ever_slim: U look like a cotton picker tho 

RT @KB_Three: About to put in field work &#127944;&#8221; damn dee got all the jokes",HOF,OFFN
1661,&#8220;@_BeautifulKeezy: &#8220;@100046729: @_BeautifulKeezy wassup&#8221;bye&#8221;bitch you outta order,HOF,OFFN
1662,&#8220;@_BeautifulKeezy: &#8220;@100046729: This bitch lying to me &#128514;&#128530;&#8221;&#128064;&#128064;&#128064;&#8221;messy yess,HOF,OFFN
1663,&#8220;@_BeautifulKeezy: Alyssa you ignoring me bitch but you better text me back cause I'm serious !&#8221;fuck u smokey,HOF,OFFN
1664,&#8220;@_BeautifulKeezy: I'm about too put sooooo much nut in my fucking mouth and gts frfr &#128514;&#128514;&#128514;&#128128;&#8221; bitch yu nasty,HOF,OFFN
1665,&#8220;@_BeautifulKeezy: im so winning. &#128525;&#128525;&#128525; http://t.co/Jf6U54CMW3&#8221;&#128514;&#128514;&#128514; bitch,HOF,OFFN
1666,&#8220;@_BeautifulKeezy: the boy told Lyssa make them $50 &#128514;&#128514;&#128514;&#128128;&#8221;&#128514;&#128514;&#128514;&#128128; yes bitch and I need em,HOF,OFFN
1667,&#8220;@_BeautifulKeezy: these hoes be playing w/ me like I won't send baby Cain at they niggah !!&#8221;yesss messy.,HOF,OFFN
1668,&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;,HOF,HATE
1669,&#8220;@_BucketsMcnasty: Iz no point in being jealous cuz dee hoes for everybody #&#128175;&#128175;&#128175; #BucketsProverbs&#8221; http://t.co/HuH4hBKYwY,HOF,OFFN
1670,&#8220;@_BunnyCocaine_: Oomf a hoe hopper &#128514;&#128514;&#128514;&#8221; &#127806;&#128064;&#127806;,HOF,OFFN
1671,&#8220;@_CiaraaaS: What things do you love? &#8212; Myself http://t.co/D23mKPgMxu&#8221;food weed pussy life &#128129;,HOF,OFFN
1672,&#8220;@_CocaKoula: Oomf a fake bitch ass nigga point blank period. Smh&#8221; AWWWW SHITTTTTTT,HOF,OFFN
1673,&#8220;@_DEROOO: &#8220;@ViriDoesItt: How I lose this sweet..&#8221;you ain't lose it you hide it lmfao Viri tryna smoke that hoe to his self&#8221; &#128514;&#128514;&#128514; Boy...,HOF,OFFN
1674,&#8220;@_DMiLL_: &#8220;@1BlackMigo: Kyrie fast than a bitch with the ball&#8221; look like you out there lol&#8221;lol I wish,HOF,OFFN
1675,"&#8220;@_Dominiquecs: @Thompson_Era hahaha! She to much of a thottie for you!&#8221;

Never fear Captain Save-A-Thot is here to save that hoe &#128526;",HOF,OFFN
1676,&#8220;@_Georjay: @ZoeBoi03 happy birthday little bitch.&#8221; BOFL this made me laugh when I read it &#128514;&#128514;,HOF,OFFN
1677,&#8220;@_ImtrILLasFuk: Snap Chat Names please? &#128527;&#128171;&#128166;&#8221;only bitch you can Snapchatt is me,HOF,OFFN
1678,&#8220;@_Jamal___: these hoes ain't loyal&#8221; no they ain't,HOF,OFFN
1679,"&#8220;@_Jiare: &#8220;@WB_Pooh_3x: Where the bitches at ,?? &#128064;&#8221; yeah where they at &#128064;&#8221; I don't know they probably at that Party &#128553;",HOF,OFFN
1680,"&#8220;@_KingCorey_: I got the giggles because I'm a fag, I ain't gon' lie lol &#128514;&#128514;&#8221;",HOF,OFFN
1681,&#8220;@_KingRichyyyy: @NoFly_Zone8 @1017_Sqquad you a bitch&#8221;they need to lock yo ass up for sayin some stupid shit like that,HOF,OFFN
1682,&#8220;@_Leyahhhh_: No one likes i n d i r e c t ass bitches.&#8221; &#128079;,HOF,OFFN
1683,&#8220;@_LoveCarolina_: My Lakers are going to be so trash this season I can't wait &#128588;&#128079;&#128530;&#8221; :(,NONE,NONE
1684,"&#8220;@_OneBadCreation: Boyfriends that'll eat yo pussy all day long 

Ur da real mvp &#128557;&#128079;&#8221; http://t.co/6dImZ71MPV",HOF,OFFN
1685,&#8220;@_OttoMattic: How you make a salad and have no vegetables on the bitch?!? Give me a break. &#128514;&#128557;&#128514;&#128557;&#8221; potato salad,HOF,OFFN
1686,&#8220;@_Perarl: Im so happy in the morning after I shave my pussy cuteness always sets me up for a good day&#128522;&#8221;u need some dick,HOF,OFFN
1687,"&#8220;@_PlayaChris: I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;",HOF,OFFN
1688,&#8220;@_SickWitIT: Wish tonight was purge so I can get to hunting&#8221; Shut yo hoe ass up,HOF,OFFN
1689,&#8220;@_TheCrownedHead: what if I tell y'all I'm trying to turn up for bayou classic #drinker &#128520;&#8221; bitch you got the id.,HOF,OFFN
1690,&#8220;@_WithFinesse: &#8220;@Shane_A1: Lol I 4got rose been dat nicca tho&#8221; #1 Never forget.&#8221;lol yee I was trippin,HOF,OFFN
1691,&#8220;@__Bino: Looking at nip rings I can't wait until I can change mine &#128527;&#8221; &#128221;&#128064;&#128209; lmao,NONE,NONE
1692,&#8220;@__Black_Jesus: &#8220;@lil_aerii: Happy new year &#127882;&#127881;&#127881;&#127881;&#127881;&#127881;&#127881;&#127882;&#127882;&#8221; check yo clock Hun we got another hour lol..&#8221;they just did the lil count down thing,NONE,NONE
1693,&#8220;@__IamAnnaY: bitch gotta work all hard to clean that shit without ripping her skin&#8221; LMAOSJDUSUBEJS,HOF,OFFN
1694,&#8220;@__Idonthaveone: My friends are some insensitive bitches &#128514;&#8221;,HOF,OFFN
1695,&#8220;@__LilBoodyJudy: I'm tryna get some snow day dick &#128514;&#128514;&#128514;&#128514;&#8221;gon make a nicca have a wreck out there Tryn pull up on ya &#128514;&#128514;,HOF,OFFN
1696,&#8220;@__Neecol: Like why tf is this bitch following me ?&#8221;&#128064;,HOF,OFFN
1697,&#8220;@___Tamm: @VoiceOfDStreetz cuz you a hoe lol&#8221; cuz you went on your lil rant on me man!,HOF,OFFN
1698,&#8220;@___Tamm: @VoiceOfDStreetz that wasn't me hoe azz boi&#8221; I'm (sniff sniff ) sorry (sniff sniff) http://t.co/CTmwGWEKNL,HOF,OFFN
1699,&#8220;@__austinnn: @Satisfied_x &#128175; what u did Mr bitches&#8221; &#128514; stop calling me that but I balled,HOF,OFFN
1700,&#8220;@__iamjazz: ion eat cat . &#128581;&#8221;bitch what you gay for then,HOF,OFFN
1701,&#8220;@__kiante: &#8220;@1017_Sqquad: Iont got not type ... Bad bitches is the only thing that I like&#8221; ayeee!!&#8221; Throw that ass in a sphere &#128064;&#128514;,HOF,OFFN
1702,&#8220;@__marshe: Niggas is hoes man I swear&#8221;,HOF,OFFN
1703,"&#8220;@__nijel: This hoe Mimi said ""I hurt my hand"" &#128529;&#8221;&#128514;&#128514;&#128514; bitch her throat &#128514;&#128514;",HOF,OFFN
1704,&#8220;@__thaRealist: &#128530; dis hoe BRI will fuck up a wet dream&#8221; Pop up in the dream like http://t.co/aSiQg6EBPb,HOF,OFFN
1705,&#8220;@__thaRealist: @VoiceOfDStreetz u a hoe broski u gotta look at dat shit&#8221;&#128064;&#128064;,HOF,OFFN
1706,&#8220;@__thaRealist: Lil bitty bitch&#8221; &#128079;&#128079;&#128079;&#128079;&#128079;lingo,HOF,OFFN
1707,&#8220;@__thaRealist: Shawty wanna charge for pussy but I'm like whoa now&#128561;&#8221; turnt her on to cash she use to fuck for free,HOF,OFFN
1708,&#8220;@_ajoyaaa: Victor &amp; shawn legs don't hurt? They jigg every damn night &#128530;&#8221;&#128514;&#128514;&#128514;,HOF,OFFN
1709,&#8220;@_chanaee_: Lol someone told me I had hoes so I sent them this&#128514;&#128514;&#128514; http://t.co/B5xBkamv4X&#8221;,HOF,OFFN
1710,&#8220;@_chelousmuch_: bitch im weakkk vic &#128514;&#128514;&#128514;&#8221;&#128514;&#128514;,HOF,OFFN
1711,"&#8220;@_chrisbrazell: Fuck The Girls , Peep How He Change When A Nigga Squared Up Against Him &#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/FZx4ws7eeE&#8221; &#128514;&#128514;&#128514;&#128514; bitch ass",HOF,OFFN
1712,&#8220;@_getMEAUXmoney: Nobody cares about KIRK Bosley no&#8221;I care bout my cousin hoe,HOF,OFFN
1713,&#8220;@_hellMEL: Men hop in they feelings much quicker than women.&#8221; Not me &#128520; I hop in ya bitch,HOF,OFFN
1714,"&#8220;@_heyshelby: Bitch I'm on, bitch I'm on my griiind&#8221; thug luuuuuuv",HOF,OFFN
1715,&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded,HOF,HATE
1716,&#8220;@_imShawntee: I want some pussy #wishfulthinking&#8221;,HOF,OFFN
1717,&#8220;@_kbhicks: @TheKaosYatti fb hoe lol&#8221;damn next time be nicer . Lmfao,HOF,OFFN
1718,&#8220;@_mahoganylov3 Right RT @KingDominicus: Idk which one was selling pussy for $65 but that&#8217;s way too high for them http://t.co/jSDmSuCDm0&#8221;hm,HOF,OFFN
1719,"&#8220;@_nicolehayley_: @Thompson_Era ahhh you know who? So smart Donny! &#128516; but YES RT &#128514;&#8221;

Yass! I'm glad you speak your mind to these 2faces hoes",HOF,OFFN
1720,&#8220;@_tellmeboutLOVE: Gave that bitch a bib since she wanna act messy&#8221;,HOF,OFFN
1721,&#8220;@_theGODMOTHER: im more excited about Boosie getting out than Valentines day&#8221;he get Vday pussy allstar weeekend pussy and mardi gras,HOF,OFFN
1722,&#8220;@_xCianna: I don't like Popeye's spicy chicken &#128545;&#8221; them bitches be on 10 boa you trippen,HOF,OFFN
1723,&#8220;@_yeaimmaBOSS: &#8220;@100046729: I wonder if I @ oomf I be like I want fuck would I be wrong or &#128533;&#8221; you a be one brave as bitch&#128514;&#128514;&#8221;one day &#128553;&#128514;&#128514;,HOF,OFFN
1724,&#8220;@_yesKala: It's so wonderful when you meet a dude that's not a bitch ass nigga these days &#128514;&#8221; &#128588;&#128553;,HOF,OFFN
